Name	Set	ImageFile	SetID	type	Race	Cost	TCost	ATK	DEF	Attribute	Rarity	Cardtext	Script
Massive Growth	NDR	NDR-050.png	NDR-050	Chant/Rune(Divinity 3)		[Wa][1]				Water	R		
Mechanized Knight	NDR	NDR-051.png	NDR-051	Resonator	Machine	[Wa]		500	500	Water	C		
Merlin, the Control Unit of Sky Round	NDR	NDR-052.png	NDR-052	Resonator	Machine	[Wa][Wa][2]		600	800	Water	R		
Messenger of Death	NDR	NDR-053.png	NDR-053	Resonator	Beast	[Wa][Wa]		600	400	Water	C		
Scrap and Build	NDR	NDR-054.png	NDR-054	Chant/Rune(Divinity 3)		[Wa][2]				Water	U		
Sky Round Guardian	NDR	NDR-055.png	NDR-055	Resonator	Machine	[Wa][3]		500	1100	Water	C		
Sky Round Technician	NDR	NDR-056.png	NDR-056	Resonator	Machine	[Wa][1]		600	600	Water	C		
The Knights' Castle in the Sky, Sky Round	NDR	NDR-057.png	NDR-057	Addition	Machine	[Wa][1]				Water	U		
Thick Fog	NDR	NDR-058.png	NDR-058	Chant/Rune(Divinity 1)		[Wa][2]				Water	C		
Torrent of Energy	NDR	NDR-059.png	NDR-059	Chant/Rune(Divinity 2)		[Wa][2]				Water	C		
Viviane, the Mechanical Fairy	NDR	NDR-060.png	NDR-060	Resonator	Machine/Fairy	[Wa]		300	300	Water	U		
Atlantis, the Wielder of Knowledge	NDR	NDR-061.png	NDR-061	Resonator	Mimi Tribe	[Wi][Wi][1]		400	1200	Wind	R		
Cat Ninja Scout	NDR	NDR-062.png	NDR-062	Resonator	Cat/Ninja	[Wi]		300	300	Wind	C		
Eccentric Oni	NDR	NDR-063.png	NDR-063	Resonator	Oni	[Wi][1]		700	600	Wind	C		
Explore the Unknown	NDR	NDR-064.png	NDR-064	Chant/Rune(Divinity3)		[Wi]				Wind	U		
Grand Bird of the Lost Isles	NDR	NDR-065.png	NDR-065	Resonator	Beast	[Wi][4]		800	900	Wind	C		
In a Single Stroke	NDR	NDR-066.png	NDR-066	Chant/Rune(Divinity 2)		[Wi][2]				Wind	C		
Ittan-Momen	NDR	NDR-067.png	NDR-067	Resonator	Youkai	[Wi][2]		600	700	Wind	C		
Jubei, the One-Eyed Swordsmaster	NDR	NDR-068.png	NDR-068	Resonator	Cat/Bushido	[Wi][Wi][3]		1200	1000	Wind	R		
Karura, the Crow Tengu	NDR	NDR-069.png	NDR-069	Resonator	Youkai	[Wi][Wi][3]		1200	1200	Wind	SR		
Kotaro, Ninja of the Wind	NDR	NDR-070.png	NDR-070	Resonator	Cat/Ninja	[Wi][Wi]		600	600	Wind	U		
Lemuria of the Magic Boomerang	NDR	NDR-071.png	NDR-071	Resonator	Mimi Tribe	[Wi][2]		0	800	Wind	SR		
Magic Boomerang	NDR	NDR-072.png	NDR-072	Chant		[Wi]				Wind	R		
Mimi Tribe Explorer	NDR	NDR-073.png	NDR-073	Resonator	Mimi Tribe	[Wi][1]		400	600	Wind	U		
River Snake	NDR	NDR-074.png	NDR-074	Resonator	Beast	[Wi][3]		1200	600	Wind	C		
Song of the Fairies	NDR	NDR-075.png	NDR-075	Chant/Rune(Divinity 1)		[Wi][Wi][1]				Wind	C		
Squall of the Tengu	NDR	NDR-076.png	NDR-076	Chant		[Wi][Wi][1]				Wind	R		
The Forgotten Sanctuary, Lost Isles	NDR	NDR-077.png	NDR-077	Addition		[Wi][1]				Wind	U		
The Mimi Tribe's Cook	NDR	NDR-078.png	NDR-078	Resonator	Mimi Tribe	[Wi][2]		800	800	Wind	C		
The Village of the Spirited Away, Kouga	NDR	NDR-079.png	NDR-079	Addition		[Wi]				Wind	U		
Youkai Festival	NDR	NDR-080.png	NDR-080	Chant/Rune(Divinity 3)		[Wi][Wi][X]				Wind	U		
Apostle of the Devil	NDR	NDR-081.png	NDR-081	Resonator	Human	[D][3]		1000	600	Darkness	C		
Azazel, the Fallen Angel of Gloom	NDR	NDR-082.png	NDR-082	Resonator	Fallen Angel	[D][D][2]		900	1000	Darkness	R		
Belial, the Evil from the Scriptures	NDR	NDR-083.png	NDR-083	Resonator	Fallen Angel	[D][D][D][3]		1200	1200	Darkness	SR		
Bottomless Chasm of Death, the Abyss	NDR	NDR-084.png	NDR-084	Addition		[D][D][D]				Darkness	U		
Corpse Demon	NDR	NDR-085.png	NDR-085	Resonator	Zombie	[D][D]		600	600	Darkness	C		
Corpse Sorcerer	NDR	NDR-086.png	NDR-086	Resonator	Zombie/Wizard	[D][D][1]		600	600	Darkness	U		
Craving	NDR	NDR-087.png	NDR-087	Chant/Rune(Divinity 3)		[D][D][3]				Darkness	U		
Diseased Rat	NDR	NDR-088.png	NDR-088	Resonator	Beast/Zombie	[D][1]		200	400	Darkness	C		
Disgraced Knight	NDR	NDR-089.png	NDR-089	Resonator	Zombie	[D][D][D]		800	700	Darkness	R		
Fresh Blood Vampire	NDR	NDR-090.png	NDR-090	Resonator	Vampire	[D][2]		500	600	Darkness	C		
Gatherer of Despair	NDR	NDR-091.png	NDR-091	Resonator	Demon	[D][1]		600	500	Darkness	C		
Life Severing Blade	NDR	NDR-092.png	NDR-092	Chant		[D][2]				Darkness	R		
Look of Corruption	NDR	NDR-093.png	NDR-093	Chant		[D]				Darkness	R		
Miasma of the Abyss	NDR	NDR-094.png	NDR-094	Chant/Rune(Divinity 3)		[D][D][2]				Darkness	C		
Minister of Grief	NDR	NDR-095.png	NDR-095	Resonator	Human/Wizard	[D][D][2]		500	500	Darkness	U		
Oborozuki	NDR	NDR-096.png	NDR-096	Resonator	Vampire	[D][D]		600	600	Darkness	SR		
Rain of Tears	NDR	NDR-097.png	NDR-097	Chant/Rune(Divinity 2)		[D]				Darkness	C		
Ruins of Neverending Rain, Rainruins	NDR	NDR-098.png	NDR-098	Addition		[D][D][2]				Darkness	U		
Skeleton Knight	NDR	NDR-099.png	NDR-099	Resonator	Skeleton	[D][D][2]		800	800	Darkness	C		
Whispers of the Devil	NDR	NDR-100.png	NDR-100	Chant/Rune(Divinity 2)		[D][1]				Darkness	U		
Magic Stone of Adventure	NDR	NDR-101.png	NDR-101	Special Magic Stone							U		
Magic Stone of Chaos	NDR	NDR-102.png	NDR-102	Special Magic Stone							R		
Magic Stone of Corruption	NDR	NDR-103.png	NDR-103	Special Magic Stone							U		
Magic Stone of Dramaturgy	NDR	NDR-104.png	NDR-104	Special Magic Stone							U		
Magic Stone of Dueling	NDR	NDR-105.png	NDR-105	Special Magic Stone							R		
Magic Stone of Faith	NDR	NDR-106.png	NDR-106	Special Magic Stone							R		
Magic Stone of Omniscience	NDR	NDR-107.png	NDR-107	Special Magic Stone							U		
Magic Stone of the Hermit	NDR	NDR-108.png	NDR-108	Special Magic Stone							U		
Magic Stone of the Undead	NDR	NDR-109.png	NDR-109	Special Magic Stone							R		
Magic Stone of Tranquility	NDR	NDR-110.png	NDR-110	Special Magic Stone							R		
Acolyte of the Sun	SDV1	SDV1-001.png	SDV1-001	Resonator	Human	[L]		200	200	Light	C		
Atom Seikhart | Atom Seikhart, the Shimmering Rabbit	SDV1	SDV1-002,SDV1-002J.png	SDV1-002J	Ruler | J-Ruler	Rabbit | Rabbit	 | 	 | 	 | 800	 | 1200	 | 	R	 | 	
Bethor, the Angel of Treasure	SDV1	SDV1-003.png	SDV1-003	Resonator	Angel	[L][1]		500	500	Light	C		
Bewilder	SDV1	SDV1-004.png	SDV1-004	Rune(Divinity 2)		[L]				Light	C		
Brunhild | Brunhild, Caller of Spirits	SDV1	SDV1-005,SDV1-005J.png	SDV1-005J	Ruler | J-Ruler	Valkyrie | Valkyrie	 | 	 | 	 | 1200	 | 1200	 | 	R	 | 	
Brunhild's Wrath	SDV1	SDV1-006.png	SDV1-006	Rune(Divinity 3)		[L][1]				Light	C		
Dispel	SDV1	SDV1-007.png	SDV1-007	Rune(Divinity2)		[L]				Light	C		
Einherjar's Summons	SDV1	SDV1-008.png	SDV1-008	Rune(Divinity2)							U		
Eir, Valkyrie of Mercy	SDV1	SDV1-009.png	SDV1-009	Resonator	Valkyrie	[L][L][1]		600	700	Light	U		
Karmic Reversal	SDV1	SDV1-010.png	SDV1-010	Rune(Divinity 3)		[L][1]				Light	C		
Mini Meteor	SDV1	SDV1-011.png	SDV1-011	Rune(Divinity 3)		[L][L][1]				Light	U		
Odin's Judgment	SDV1	SDV1-012.png	SDV1-012	Master Rune(Divinity 2)		[L][L][1]				Light	R		
Phaleg, the Angel of War	SDV1	SDV1-013.png	SDV1-013	Resonator	Angel	[L][L][L]		800	800	Light	U		
Phul, the Administrator of the Moon	SDV1	SDV1-014.png	SDV1-014	Resonator	Angel	[L][L][2]		1000	1000	Light	SR		
Ring of Legend	SDV1	SDV1-015.png	SDV1-015	Rune(Divinity 3)		[L]				Light	C		
Sigrun, Valkyrie of Victory	SDV1	SDV1-016.png	SDV1-016	Resonator	Valkyrie	[L][L][2]		1000	1000	Light	SR		
Sorceress of the Moon	SDV1	SDV1-017.png	SDV1-017	Resonator	Wererabbit	[L]		400	400	Light	C		
The Valkyrie's Chosen	SDV1	SDV1-018.png	SDV1-018	Resonator	Human	[L][1]		600	600	Light	C		
Turn Tail	SDV1	SDV1-019.png	SDV1-019	Rune(Divinity 2)		[L]				Light	C		
Warrior of the Sun	SDV1	SDV1-020.png	SDV1-020	Resonator	Human	[L]		400	400	Light	C		
Wererabbit Warrior	SDV1	SDV1-021.png	SDV1-021	Resonator	Wererabbit	[L]		400	400	Light	C		
Zeus' Grand Lightning	SDV1	SDV1-022.png	SDV1-022	Master Rune(Divinity 2)		[L][L]				Light	R		
Light Magic Stone	SDV1	SDV1-023.png	SDV1-023	Basic Magic Stone							C	[rest]: Produce [L].	
Chu-Ko-Nu Soldier	SDV2	SDV2-001.png	SDV2-001	Resonator	Human	[F]		300	300	Fire	C		
Concealed Khopesh	SDV2	SDV2-002.png	SDV2-002	Rune(Divinity 3)		[F][F][1]				Fire	C		
Dragon Dance	SDV2	SDV2-003.png	SDV2-003	Rune(Divinity 3)		[F]				Fire	C		
Dragon of Kunlun	SDV2	SDV2-004.png	SDV2-004	Resonator	Dragon	[F][F][2]		1200	1200	Fire	SR		
Dragon's Flight	SDV2	SDV2-005.png	SDV2-005	Rune(Divinity 2)		[F]				Fire	U		
Explosion	SDV2	SDV2-006.png	SDV2-006	Rune(Divinity 2)		[F]				Fire	C		
Flame Enchant	SDV2	SDV2-007.png	SDV2-007	Rune(Divinity 2)							C		
Flame Soldier Formation	SDV2	SDV2-008.png	SDV2-008	Master Rune(Divinity 2)		[F][X]				Fire	R		
Fu Xi | Fu Xi, King of Kunlun	SDV2	SDV2-009,SDV2-009J.png	SDV2-009J	Ruler | J-Ruler	Monarch | Monarch	 | 	 | 	 | 1000	 | 1000	 | 	R	 | 	
Giant Sandstorm	SDV2	SDV2-010.png	SDV2-010	Rune(Divinity 3)		[F][F][F][F]				Fire	U		
Isis | Isis, the Hundred Weapon Master	SDV2	SDV2-011,SDV2-011J.png	SDV2-011J	Ruler | J-Ruler	Ascendant | Ascendant	 | 	 | 	 | 1400	 | 800	 | 	R	 | 	
Magician of Molding	SDV2	SDV2-012.png	SDV2-012	Resonator	Human	[F][1]		600	600	Fire	C		
Pang Tong	SDV2	SDV2-013.png	SDV2-013	Resonator	Human	[F][F][1]		400	800	Fire	U		
Poison Stinger	SDV2	SDV2-014.png	SDV2-014	Rune(Divinity 2)		[F]				Fire	C		
Reckless Flame Soldier	SDV2	SDV2-015.png	SDV2-015	Resonator	Human	[F]		800	800	Fire	C		
Sand Dragon	SDV2	SDV2-016.png	SDV2-016	Resonator	Sand/Dragon	[F][F][1]		1000	1000	Fire	U		
Sandora Blacksmith	SDV2	SDV2-017.png	SDV2-017	Resonator	Human	[F]		200	400	Fire	C		
Sandworm	SDV2	SDV2-018.png	SDV2-018	Resonator	Insect	[F]		300	400	Fire	C		
Set, the Commander of Destruction	SDV2	SDV2-019.png	SDV2-019	Resonator	Ascendant	[F][F][F][F]		1200	1000	Fire	SR		
Soldier Ambush	SDV2	SDV2-020.png	SDV2-020	Rune(Divinity 3)		[F][F]				Fire	C		
Tiger of Kunlun	SDV2	SDV2-021.png	SDV2-021	Resonator	Beast	[F][1]		600	600	Fire	C		
Whirlwind Conflagration	SDV2	SDV2-022.png	SDV2-022	Master Rune(Divinity 2)		[F][F][3]				Fire	R		
Fire Magic Stone	SDV2	SDV2-023.png	SDV2-023	Basic Magic Stone							C	[rest]: Produce [F].	
Anti-Matter Cannon, Excalibur	SDV3	SDV3-001.png	SDV3-001	Master Rune(Divinity 2)		[Wa][Wa][1]				Water	R		
Arthur | Arthur, King of Machines	SDV3	SDV3-002,SDV3-002J.png	SDV3-002J	Ruler | J-Ruler	Machine | Machine	 | 	 | 	 | 0	 | 800	 | 	R	 | 	
Caliburn, the Sword of Judgment	SDV3	SDV3-003.png	SDV3-003	Rune(Divinity 3)		[Wa][Wa][2]				Water	U		
Charm	SDV3	SDV3-004.png	SDV3-004	Rune(Divinity 2)		[Wa][1]				Water	C		
Checkmate	SDV3	SDV3-005.png	SDV3-005	Rune(Divinity 3)		[Wa][Wa]				Water	C		
Consume	SDV3	SDV3-006.png	SDV3-006	Master Rune(Divinity 2)		[Wa][Wa][1]				Water	R		
Donut Drone	SDV3	SDV3-007.png	SDV3-007	Resonator	Machine	[Wa]		200	200	Water	C		
Gawain, the Swift Knight	SDV3	SDV3-008.png	SDV3-008	Resonator	Machine	[Wa][Wa][1]		800	800	Water	U		
Gretel of Misty Woods	SDV3	SDV3-009.png	SDV3-009	Resonator	Fairy Tale	[Wa]		200	600	Water	C		
Hansel of Misty Woods	SDV3	SDV3-010.png	SDV3-010	Resonator	Fairy Tale	[Wa][1]		600	600	Water	C		
Loki | Loki, the Witch of Chaos	SDV3	SDV3-011,SDV3-011J.png	SDV3-011J	Ruler | J-Ruler	Witch | Witch	 | 	 | 	 | 800	 | 1200	 | 	R	 | 	
Loki's Watchdog, Fenrir	SDV3	SDV3-012.png	SDV3-012	Resonator	Beast	[Wa][Wa][2]		1000	1000	Water	SR		
Maintenance	SDV3	SDV3-013.png	SDV3-013	Rune(Divinity 2)							C		
Mechanical Bishop	SDV3	SDV3-014.png	SDV3-014	Resonator	Machine	[Wa][1]		600	600	Water	C		
Mechanical Soldier	SDV3	SDV3-015.png	SDV3-015	Resonator	Machine	[Wa]		400	400	Water	C		
Monstrosify	SDV3	SDV3-016.png	SDV3-016	Rune(Divinity 2)		[Wa]				Water	U		
Overflowing Knowledge	SDV3	SDV3-017.png	SDV3-017	Rune(Divinity 3)		[Wa][Wa]				Water	C		
Perceval, the Shining Knight	SDV3	SDV3-018.png	SDV3-018	Resonator	Machine	[Wa][Wa][2]		900	900	Water	SR		
Petrification	SDV3	SDV3-019.png	SDV3-019	Rune(Divinity 3)		[Wa][Wa]				Water	C		
Reconnaissance	SDV3	SDV3-020.png	SDV3-020	Rune(Divinity 2)		[Wa]				Water	C		
Scarecrow Guide	SDV3	SDV3-021.png	SDV3-021	Resonator	Fairy Tale	[Wa]		400	400	Water	C		
Witch's House	SDV3	SDV3-022.png	SDV3-022	Resonator	Fairy Tale	[Wa][Wa][1]		400	700	Water	U		
Water Magic Stone	SDV3	SDV3-023.png	SDV3-023	Basic Magic Stone							C	[rest]: Produce [Wa].	
Chamimi | Chamimi, Guardian of the Sacred Bow	SDV4	SDV4-001,SDV4-001J.png	SDV4-001J	Ruler | J-Ruler	Mimi Tribe | Mimi Tribe	 | 	 | 	 | 1000	 | 1000	 | 	R	 | 	
Chiyome, the Captivating Kunoichi	SDV4	SDV4-002.png	SDV4-002	Resonator	Cat/Ninja	[Wi][Wi][2]		800	800	Wind	SR		
Elephant Rush!!	SDV4	SDV4-003.png	SDV4-003	Master Rune(Divinity 2)		[Wi][Wi][3]				Wind	R		
Fairy of the Lost Isles	SDV4	SDV4-004.png	SDV4-004	Resonator	Fairy	[Wi]		400	400	Wind	C		
Forest Meditation	SDV4	SDV4-005.png	SDV4-005	Rune(Divinity 3)		[Wi][1]				Wind	C		
Fuhma Shuriken	SDV4	SDV4-006.png	SDV4-006	Rune(Divinity 2)		[Wi]				Wind	C		
Grand Mallet Warrior	SDV4	SDV4-007.png	SDV4-007	Resonator	Mimi Tribe	[Wi][Wi][2]		800	800	Wind	SR		
Hanzo | Hanzo, Chief of the Kouga	SDV4	SDV4-008,SDV4-008J.png	SDV4-008J	Ruler | J-Ruler	Cat/Ninja | Cat/Ninja	 | 	 | 	 | 1000	 | 1000	 | 	R	 | 	
Huge Toad	SDV4	SDV4-009.png	SDV4-009	Resonator	Beast	[Wi]		400	400	Wind	C		
Jiraiya, the Toad User	SDV4	SDV4-010.png	SDV4-010	Resonator	Cat/Ninja	[Wi][Wi][1]		700	700	Wind	U		
Mu, the Hero of the Greatshield	SDV4	SDV4-011.png	SDV4-011	Resonator	Mimi Tribe	[Wi][1]		600	600	Wind	C		
Pygmy Hippo	SDV4	SDV4-012.png	SDV4-012	Resonator	Beast	[Wi]		600	500	Wind	C		
Raft Downstream	SDV4	SDV4-013.png	SDV4-013	Rune(Divinity 2)		[Wi][Wi][2]				Wind	U		
Rapid Fire Mi-!!	SDV4	SDV4-014.png	SDV4-014	Rune(Divinity 2)		[Wi]				Wind	C		
Sanctuary Elephant	SDV4	SDV4-015.png	SDV4-015	Resonator	Beast	[Wi][Wi][1]		1000	1000	Wind	U		
Sealing Scroll	SDV4	SDV4-016.png	SDV4-016	Master Rune(Divinity 2)							R		
Shadow Step	SDV4	SDV4-017.png	SDV4-017	Rune(Divinity 3)		[Wi][1]				Wind	C		
Snipe Away Mi-!!	SDV4	SDV4-018.png	SDV4-018	Rune(Divinity 3)		[Wi]				Wind	C		
Soot Sprite	SDV4	SDV4-019.png	SDV4-019	Resonator	Youkai	[Wi]		200	200	Wind	C		
Spirited Away	SDV4	SDV4-020.png	SDV4-020	Rune(Divinity 3)		[Wi][Wi][2]				Wind	U		
The Hundred Eyed One	SDV4	SDV4-021.png	SDV4-021	Resonator	Youkai	[Wi][1]		600	600	Wind	C		
Whirlwind Technique	SDV4	SDV4-022.png	SDV4-022	Rune(Divinity 2)		[Wi]				Wind	C		
Wind Magic Stone	SDV4	SDV4-023.png	SDV4-023	Basic Magic Stone							C	[rest]: Produce [Wi].	
Armaros, the Fallen Angel of Nullification	SDV5	SDV5-001.png	SDV5-001	Resonator	Fallen Angel	[D][D][1]		800	800	Darkness	U		
Black Rosario	SDV5	SDV5-002.png	SDV5-002	Master Rune(Divinity 2)		[D][D]				Darkness	R		
Cycle of Death	SDV5	SDV5-003.png	SDV5-003	Master Rune(Divinity 2)		[D][D]				Darkness	R		
Demon Division	SDV5	SDV5-004.png	SDV5-004	Rune(Divinity 2)		[D][D]				Darkness	C		
Fanatic of Grief	SDV5	SDV5-005.png	SDV5-005	Resonator	Human	[D]		400	400	Darkness	C		
Fleurety	SDV5	SDV5-006.png	SDV5-006	Resonator	Demon	[D][D]		500	500	Darkness	C		
Immortal Commander	SDV5	SDV5-007.png	SDV5-007	Resonator	Vampire	[D][D][1]		700	700	Darkness	U		
Jet-Black Wings	SDV5	SDV5-008.png	SDV5-008	Rune(Divinity 3)		[D][D][1]				Darkness	U		
Lich | Lich, the Saint of Death	SDV5	SDV5-009,SDV5-009J.png	SDV5-009J	Ruler | J-Ruler	Deathless | Deathless	 | 	 | 	 | 600	 | 1200	 | 	R	 | 	
Lower Fallen Angel	SDV5	SDV5-010.png	SDV5-010	Resonator	Fallen Angel	[D]		300	400	Darkness	C		
Lucifer | Lucifer, Fallen Angel of Sorrow	SDV5	SDV5-011,SDV5-011J.png	SDV5-011J	Ruler | J-Ruler	Fallen Angel | Fallen Angel	 | 	 | 	 | 800	 | 800	 | 	R	 | 	
Patchwork Frankenstein	SDV5	SDV5-012.png	SDV5-012	Resonator	Zombie	[D][D]		1000	1000	Darkness	C		
Putrefy	SDV5	SDV5-013.png	SDV5-013	Rune(Divinity 2)		[D]				Darkness	C		
Scythe of the Reaper	SDV5	SDV5-014.png	SDV5-014	Rune(Divinity 3)		[D][1]				Darkness	C		
Shemhaza, the Fallen Angel of Sadism	SDV5	SDV5-015.png	SDV5-015	Resonator	Fallen Angel	[D][D][2]		1000	1000	Darkness	SR		
Skeleton Horde	SDV5	SDV5-016.png	SDV5-016	Resonator	Skeleton	[D]		400	400	Darkness	C		
Specter Rush	SDV5	SDV5-017.png	SDV5-017	Rune(Divinity 3)		[D][D]				Darkness	U		
Sword of Lament	SDV5	SDV5-018.png	SDV5-018	Rune(Divinity 3)		[D][D][1]				Darkness	C		
Tears of the Fallen	SDV5	SDV5-019.png	SDV5-019	Rune(Divinity 2)							C		
Undeath	SDV5	SDV5-020.png	SDV5-020	Rune(Divinity 2)		[D]				Darkness	C		
Vlad, the Insatiable	SDV5	SDV5-021.png	SDV5-021	Resonator	Vampire	[D][D][2]		1000	1000	Darkness	SR		
Wanderer of the Abyss	SDV5	SDV5-022.png	SDV5-022	Resonator	Zombie	[D]		100	100	Darkness	C		
Darkness Magic Stone	SDV5	SDV5-023.png	SDV5-023	Basic Magic Stone							C	[rest]: Produce [D].	
Alice, Otherworldly Visitor	SNV	SNV-001.png	SNV-001	Resonator	Fairy Tale/Wanderer	[L][L][1]		800	800	Light	SR		
Barrier of Faith	SNV	SNV-002.png	SNV-002	Chant/Rune(Divinity 1)		[L]				Light	U		
Blade of Faith	SNV	SNV-003.png	SNV-003	Chant/Master Rune(Divinity 2)		[L][3]				Light	R		
Card Conscript	SNV	SNV-004.png	SNV-004	Resonator	Fairy Tale	[L][4]		900	1400	Light	C		
Dark Alice Doll	SNV	SNV-005.png	SNV-005	Resonator	Fairy Tale/Doll	[L][L][1]		400	1000	Light	R		
God's Choice	SNV	SNV-006.png	SNV-006	Chant		[L][L]				Light	C		
March Hare of Valhalla	SNV	SNV-007.png	SNV-007	Resonator	Fairy Tale/Wererabbit	[L][L]		600	600	Light	U		
Messenger of the Sun	SNV	SNV-008.png	SNV-008	Resonator	Human	[L][1]		200	400	Light	C		
Misteltein, the Pious Sword Saint	SNV	SNV-009.png	SNV-009	Resonator	Human/Wanderer	[L][L][3]		1200	1200	Light	SR		
