Name	Set	ImageFile	SetID	type	Race	Cost	TCost	ATK	DEF	Attribute	Rarity	Cardtext	Script
Light Mage of Ma'at	GOG	GOG-007	GOG-007	Resonator	Wizard	[L][1]	3	            600	600        	Light	N	[Revolution] (This card gains the following text as long as it is ordered.)	
Misteltein, Dark Sword Saint	GOG	GOG-008	GOG-008	Resonator	Wanderer	[L]	3	            400	400        	Light	MR	[Villains] [Pierce][Revolution]	
Odin Enters the Game of Gods	GOG	GOG-009	GOG-009	Chant	-	[L]	3			Light	SR	[Quickcast]Choose one;[Force Resonance] Destroy up to one target non-magic stone entity with total cost X or less, where X is the highest total cost among entities you control.	
Odin's Intimidation	GOG	GOG-010	GOG-010	Chant	-	[L][3]	9			Light	N	You may pay [3] less to play this card if a J-ruler was put into the field under your control this turn.Your opponent banishes X non-magic stone, non-J-ruler entities, where X is the number of entities with [Villains] you control.	
Praying Valkyrie	GOG	GOG-011	GOG-011	Resonator	Valkyrie	[L][L][1]	3	            900	900        	Light	N	[Flying][Revolution] (This card gains the following text as long as it is ordered.)	
Randgrid	GOG	GOG-012	GOG-012	Resonator	Valkyrie	[L][L]	3	            500	500        	Light	R	[Villains] [Flying][Revolution] (This card gains the following text as long as it is ordered.)	
Repeating Faith Revival	GOG	GOG-013	GOG-013	Chant	-	[L][2]	6			Light	N	Put target light resonator or light alternative card from your graveyard into the field. You may only put a resonator part of that alternative card into the field.[Force Resonance]  (This card gains the following text in all zones as long as you control [Force Command] .)Players cannot chase to this card. Put this card into its owner's hand as it resolves.	
Soldier of Minerva	GOG	GOG-014	GOG-014	Resonator	Soldier	[L]	3	            400	400        	Light	N	[Revolution] (This card gains the following text as long as it is ordered.)	
The Holy Sword of Misteltein	GOG	GOG-015	GOG-015	Addition	-	[L][6]	3			Light	R	[Quickcast] [Eternal]If more than 1000 damage would be dealt to you, 1000 damage is dealt to you instead.[Force Resonance] 	
Wind of Asgard	GOG	GOG-016	GOG-016	Chant	-	[L]	3			Light	R	[Quickcast]You and entities you control gain [Barrier] until end of turn.[Force Resonance] You may play this card without paying its cost.	
Ambushing Scorpion	GOG	GOG-017	GOG-017	Resonator	Insect	[F][1]	3	            700	700        	Fire	N	[Quickcast] [Bane]	
Barbatos, Aspiring Ascendant	GOG	GOG-018	GOG-018	Resonator	Human	[F][F]	3	            1000	400        	Fire	R	[Tales][Revolution] (This card gains the following text as long as it is ordered.)	
Cthulhu's Intimidation	GOG	GOG-019	GOG-019	Chant	-	[F][F][F]	3			Fire	N	You may pay [Fire] less to play this card for each fire magic stone that entered the field under your control this turn.This card deals 600 damage to each J/resonator your opponent controls. If two or more fire magic stones were put into the field under your control this turn, damaged J/resonators cannot block until end of turn. If three or more fire magic stones were put into the field under your control this turn, draw a card.	
Explosive Withdrawal	GOG	GOG-020	GOG-020	Chant	-	[F][1]	3			Fire	N	[Quickcast]Destroy target J-ruler you control. This card deals damage equal to the ATK of the chosen J-ruler to target player or J/resonator.[Force Resonance] You may banish a magic stone rather than pay this card's cost.	
Flame Soldier of Ma'at	GOG	GOG-021	GOG-021	Resonator	Human	[F]	3	            400	400        	Fire	N	[Pierce][Revolution] (This card gains the following text as long as it is ordered.)	
Flaming Salamander	GOG	GOG-022	GOG-022	Resonator	Beast	[F][1]	3	            700	700        	Fire	N		
Isis, Heat of the Sand	GOG	GOG-023	GOG-023	Resonator	Ascendant	[F][F]	3	            700	700        	Fire	SR	[Tales] [Quickcast][Revolution]	
Magic Stone Dance of Chaos	GOG	GOG-024	GOG-024	Chant	-	[F]	3			Fire	SR	Put the top three cards of your magic stone deck into the field rested. They gain "At the next end of turn >>> Put this card on the bottom of its owner's magic stone deck.".[Force Resonance] Then you may banish any number of magic stones. Destroy all J/resonators with total cost equal to the number of magic stones banished this way.	
Melua, Mage of Ma'at	GOG	GOG-025	GOG-025	Resonator	Wizard	[F][F]	3	            700	700        	Fire	R	[Tales] [Quickcast][Revolution]	
Phantasmal Ascendant	GOG	GOG-026	GOG-026	Resonator	Cthulhu	[F]	3	            400	400        	Fire	N	[Quickcast][Revolution] (This card gains the following text as long as it is ordered.)	
Rebirth of Flaming Disaster	GOG	GOG-027	GOG-027	Chant	-	[F]	3			Fire	R	[Quickcast]Destroy target J-ruler you control. Put a [400/400] fire Cthulhu resonator token with [Swiftness] into the field.[Force Resonance] Put X [400/400] fire Cthulhu resonator tokens with [Swiftness] into the field, where X is the number of magic stones you control.	
Red Flame	GOG	GOG-028	GOG-028	Chant	-	[F]	3			Fire	N	[Quickcast]This card deals 200 damage to target player or J/resonator.[Force Resonance]  (This card gains the following text in all zones as long as you control [Force Command] .)This card deals 200 damage plus an additional 200 damage multiplied by the number of magic stones you control instead.	
Red Riding Hood, Crimson Wolf	GOG	GOG-029	GOG-029	Resonator	Fairy Tale	[F]	3	            200	500        	Fire	MR	[Tales][Fire]: Destroy target damaged J/resonator.[Revolution]	
Spirit of Ma'at	GOG	GOG-030	GOG-030	Resonator	Spirit	[F][F][1]	3	            900	900        	Fire	N	[Quickcast][Revolution] (This card gains the following text as long as it is ordered.)	
Sudden Manifestation of Power	GOG	GOG-031	GOG-031	Chant	-	[F]	3			Fire	N	Put the top card of your magic stone deck into the field. It gains "At the next end of turn >>> Put this card on the bottom of its owner's magic stone deck.". Draw a card.	
This Means War!	GOG	GOG-032	GOG-032	Chant	-	[F][F][1]	3			Fire	R	[Quickcast]You may play this card without paying its cost if it is your first spell this game.Draw two cards. Reveal any number of cards with [Tales] from your hand. This card deals 200 damage multiplied by the number of cards with [Tales] revealed this way to target player or J/resonator.	
Fairy of Trickery	GOG	GOG-033	GOG-033	Resonator	Fairy	[Wa][Wa]	4	            600	700        	Water	N	[Quickcast] [Flying]	
Fenrir	GOG	GOG-034	GOG-034	Resonator	Beast	[Wa][Wa]	4	            600	800        	Water	R	[Villains] [Quickcast][Revolution]	
Garmheld	GOG	GOG-035	GOG-035	Resonator	God	[Wa][Wa][1]	3	            800	800        	Water	MR	[Villains][Revolution]	
Giants, Advance!	GOG	GOG-036	GOG-036	Chant	-	[Wa]	4			Water	N	[Quickcast]Choose one;	
Loki Enters the Game of Gods	GOG	GOG-037	GOG-037	Chant	-	[Wa]	4			Water	R	[Quickcast]Choose one;[Force Resonance] Resonators in your hand gain [Quickcast] until end of turn.	
Loki's Curse	GOG	GOG-038	GOG-038	Chant	-	[Wa]	4			Water	N	[Quickcast]Rest target J/resonator.[Force Resonance] At the beginning of your turn >>> Put this card from your graveyard into your hand.	
Loki's Deception	GOG	GOG-039	GOG-039	Chant	-	[Wa][Wa][Wa]	4			Water	SR	[Quickcast]Choose one;[Force Resonance] You may remove two water cards in your hand from the game rather than pay this card's cost.	
Masked Giant of Trickery	GOG	GOG-040	GOG-040	Resonator	Giant	[Wa][Wa][1]	3	            1000	1000        	Water	N		
Roar of the Underground Giant	GOG	GOG-041	GOG-041	Chant	-	[Wa]	4			Water	N	[Quickcast]Return target non-magic stone, non-J-ruler entity to its owner's hand.[Force Resonance] You may put target Giant card from your graveyard into your hand.	
Skidbladnir, Magical Sailing Ship	GOG	GOG-042	GOG-042	Addition	-	[Wa]	4			Water	R	[Quickcast]	
Underground Giant	GOG	GOG-043	GOG-043	Resonator	Giant	[Wa][Wa][2]	6	            1700	1700        	Water	N	[Barrier][Revolution]	
Volmol, Snake of Knowledge	GOG	GOG-044	GOG-044	Resonator	Snake	[Wa]	4	            400	400        	Water	SR	[Villains] [Eternal][Revolution] (This card gains the following text as long as it is ordered.)	
Water Mage of Ma'at	GOG	GOG-045	GOG-045	Resonator	Wizard	[Wa]	4	            200	400        	Water	N	[Revolution] (This card gains the following text as long as it is ordered.)	
And War it Shall Be!	GOG	GOG-046	GOG-046	Chant	-	[Wi]	4			Wind	N	[Quickcast]You may search your deck for a card with [Tales], reveal it and put it into your hand. If you do, shuffle your deck.[Force Resonance] If this is the first spell you played this turn, recover target magic stone you control.	
Fiethsing, 100 Years of Wizardry	GOG	GOG-047	GOG-047	Resonator	Wizard	[Wi]	4	            400	400        	Wind	MR	[Tales] [Quickcast][Revolution]	
Gale of the Moon	GOG	GOG-048	GOG-048	Chant	-	[Wi][Wi]	4			Wind	N	[Quickcast]Cancel target spell. Put a wind Moon addition token into the field.	
Galileo, Polymath	GOG	GOG-049	GOG-049	Resonator	Cat	[Wi][Wi][Wi][1]	3	            1200	1200        	Wind	R	[Tales] [Flying] [Barrier][Revolution]	
Hanzo, Ninja of the Moon	GOG	GOG-050	GOG-050	Resonator	Cat, Ninja	[Wi]	4	            400	400        	Wind	SR	[Tales][Revolution]	
Kaguya Enters the Game of Gods	GOG	GOG-051	GOG-051	Chant	-	[Wi]	4			Wind	SR	Choose one;[Force Resonance] You may destroy all Moons you control. This card deals 500 damage multiplied by the number of Moons destroyed this way to target player or J/resonator.	
Kaguya's Moonwatching	GOG	GOG-052	GOG-052	Chant	-	[Wi]	4			Wind	N	Recover X magic stones you control, where X is the number of Moons you control.[Force Resonance] Players cannot chase to this card.	
Kotaro, Ninja of Silence	GOG	GOG-053	GOG-053	Resonator	Cat, Ninja	[Wi][Wi]	4	            600	600        	Wind	R	[Tales] [Quickcast][Revolution]	
Mimi Tribe Spectator	GOG	GOG-054	GOG-054	Resonator	Mimi Tribe	[Wi]	4	            400	400        	Wind	N		
Moon Rabbit Spectator	GOG	GOG-055	GOG-055	Resonator	Rabbit	[Wi]	4	            400	400        	Wind	N		
Ninja of Silence	GOG	GOG-056	GOG-056	Resonator	Cat, Ninja	[Wi][Wi]	4	            600	600        	Wind	N	[Quickcast]	
Rabbit Ninja	GOG	GOG-057	GOG-057	Resonator	Rabbit, Ninja	[Wi][Wi][1]	3	            800	800        	Wind	R	[Tales][Revolution]	
Wind Knight of Ma'at	GOG	GOG-058	GOG-058	Resonator	Knight	[Wi][Wi][Wi]	4	            800	900        	Wind	R	[Quickcast][Revolution]	
Wind Moon	GOG	GOG-059	GOG-059	Addition	Moon	[Wi]	4			Wind	N		
Call of Darkness	GOG	GOG-060	GOG-060	Chant	-	[D]	3			Darkness	N	You may search your deck for a card with [Villains], reveal it and put it into your hand. If you do, shuffle your deck.[Force Resonance] You may search your deck for a Valkyrie without [Villains], reveal it and put it into your hand. If you do, shuffle your deck.[Force Resonance] You may search your deck for a Giant without [Villains], reveal it and put it into your hand. If you do, shuffle your deck.	
Dark Mage of Ma'at	GOG	GOG-061	GOG-061	Resonator	Wizard	[D]	3	            400	400        	Darkness	N	[Bane][Revolution] (This card gains the following text as long as it is ordered.)	
Dark Sun	GOG	GOG-062	GOG-062	Addition	-	[D]	3			Darkness	SR	[Quickcast][Force Resonance] [Force Resonance] 	
Falling from Fate	GOG	GOG-063	GOG-063	Chant	-	[D]	3			Darkness	N	Target opponent reveals their hand. Choose a card with [Tales] or [Villains] from among them and remove it from the game.	
Night Moon	GOG	GOG-064	GOG-064	Addition	Moon	[D]	3			Darkness	N		
Phantasmal Scarlet	GOG	GOG-065	GOG-065	Chant	-	[D]	3			Darkness	SR	Target J/resonator loses all abilities until end of turn. Then destroy it.[Force Resonance] [Quickcast]You may banish a darkness magic stone rather than pay this card's cost.	
Schmel, Giant of Distrust	GOG	GOG-066	GOG-066	Resonator	Giant	[D][3]	9	            1300	1300        	Darkness	SR	[Villains][Revolution]	
Soulstealing Valkyrie	GOG	GOG-067	GOG-067	Resonator	Valkyrie	[D]	3	            400	400        	Darkness	N	[Flying]	
Arena Expansion: Asgard	GOG	GOG-068	GOG-068	Addition	-	[L][Wi][D]	10			Light	R	[Force Resonance] 	
Arena Expansion: Eien no Tsuki no Miyako	GOG	GOG-069	GOG-069	Addition	Moon	[L][Wa][Wi]	11			Light	R	[Force Resonance] 	
Arena Expansion: R'lyeh	GOG	GOG-070	GOG-070	Addition	-	[L][F][D]	9			Light	R	[Eternal][Force Resonance] 	
Arena Expansion: Utgard	GOG	GOG-071	GOG-071	Addition	Giant	[Wa][Wi][D]	11			Water	R	[Force Resonance] 	
Calamity Shield	GOG	GOG-072	GOG-072	Chant	-	[L][F]	6			Light	N	[Quickcast]Choose one;[Force Resonance] You may pay [Light] less to play this card if you control a J-ruler with [Tales].	
Demon Beast of Hellfire	GOG	GOG-073	GOG-073	Resonator	Cthulhu	[F][D]	6	            600	600        	Fire	N	[Swiftness] [Precision] [Bane][Revolution] (This card gains the following text as long as it is ordered.)	
Dogra Magra	GOG	GOG-074	GOG-074	Chant	-	[L][F][D]	9			Light	SR	[Quickcast]This card deals X00 damage to target player or J/resonator and you gain X00 life, where X is a randomly determined number between 1 and 20. If the combined number of magic stones you control and magic stones in your graveyard is 10 or more, X is 20 instead.[Force Resonance] You may banish two magic stones rather than pay this card's cost.	
Double Bind	GOG	GOG-075	GOG-075	Chant	-	[Wa][D]	7			Water	N	[Quickcast]Choose one;[Force Resonance] You may pay [Darkness] less to play this card if you control a resonator with [Villains].You may pay [Water] less to play this card if you control a resonator with [Tales].	
Gungnir, Magic Spear of Devotion	GOG	GOG-076	GOG-076	Chant	-	[L][Wi][D]	10			Light	SR	[Quickcast]Destroy target J/resonator you control. Destroy all J/resonators your opponent controls and then remove all cards in your opponent's graveyard from the game.[Force Resonance] You may pay [Light][Darkness] less to play this card during your main phase.	
Huginn and Muninn	GOG	GOG-077	GOG-077	Resonator	Beast	[L][L][D]	6	            100	100        	Light	R	[Villains] [Flying] [Bane][Revolution] (This card gains the following text as long as it is ordered.)	
Loki's Strategy	GOG	GOG-080	GOG-080	Chant	-	[Wa][Wi][D]	11			Water	SR	[Quickcast]Choose one;[Force Resonance] If you control a resonator with [Tales] and a resonator with [Villains], you may choose up to three instead.You may pay [Wind][Darkness] less to play this card if you control a resonator with [Tales] and a resonator with [Villains].	
Odin's Gloom	GOG	GOG-083	GOG-083	Chant	-	[L][D]	6			Light	N	Choose one;[Force Resonance] You may choose up to three instead.	
Seal of Wind and Water	GOG	GOG-084	GOG-084	Chant	-	[Wa][Wi]	8			Water	N	[Quickcast]Return target non-magic stone, non-J-ruler entity you control to its owner's hand. Recover up to two target magic stones you control.[Force Resonance] Players cannot chase to this card.	
Teachings of the Moon	GOG	GOG-085	GOG-085	Chant	-	[L][Wa][Wi]	11			Light	SR	[Quickcast]Choose one;[Force Resonance] You may banish a Moon addition rather than pay this card's cost.	
Ma'at, World of Duels and Ascendants	GOG	GOG-086	GOG-086	Addition	-	[1]	3				MR	[Mythic] (When you control two or more entities with [Mythic] that share a name >>> Banish all but one of them.)Players pay [2] more to play [Judgment] abilities.	
Darkness Magic Stone	GOG	GOG-089	GOG-089	Basic Magic Stone	-		0						
Fire Magic Stone	GOG	GOG-090	GOG-090	Basic Magic Stone	-		0						
Light Magic Stone	GOG	GOG-091	GOG-091	Basic Magic Stone	-		0						
Water Magic Stone	GOG	GOG-092	GOG-092	Basic Magic Stone	-		0						
Wind Magic Stone	GOG	GOG-093	GOG-093	Basic Magic Stone	-		0						
The Tales' Magic Stone	GOG	GOG-087	GOG-087	Special Magic Stone	-		0				R	[Tales]	
The Villains' Magic Stone	GOG	GOG-088	GOG-088	Special Magic Stone	-		0				R	[Villains]	
Keep the Faith!	DSD	DSD-016	DSD-016	Chant	-	[L]	3			Light		[Quickcast]Choose one;[Force Resonance] Instead add the following option and then choose one;	
Kaguya, God of Cats and the Moon	GOG	GOG-078	GOG-078	Ruler	High God		0				RR	[Tales]You cannot have cards with [Villains] in your deck or magic stone deck.[Revolution Order] [0] (Once per turn, as you play a resonator spell, you may choose to order it. If you do, that resonator spell gains "Players cannot chase to this card. This card cannot be canceled or moved to any zone other than the field.". As that resonator enters the field, put this card with its order side up into your order area.)[Force Command]  (Apply all [Force Resonance]  abilities of cards you control in all zones.)	
Order of the Moon | Order of the Moon	GOG	GOG-078J,GOG-078J	GOG-078J	Order | Order	- | -	 | 	0 | 0	 | 	 | 	 | 	JR	(The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command]  | (The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command] 	
Loki, Master of Trickery	GOG	GOG-079	GOG-079	Ruler	High God		0				RR	[Villains]You cannot have cards with [Tales] in your deck or magic stone deck.[Revolution Order] [0] (Once per turn, as you play a resonator spell, you may choose to order it. If you do, that resonator spell gains "Players cannot chase to this card. This card cannot be canceled or moved to any zone other than the field.". As that resonator enters the field, put this card with its order side up into your order area.)[Force Command]  (Apply all [Force Resonance]  abilities of cards you control in all zones.)	
Order of Trickery | Order of Trickery	GOG	GOG-079J,GOG-079J	GOG-079J	Order | Order	- | -	 | 	0 | 0	 | 	 | 	 | 	JR	(The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command]  | (The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command] 	
Nyarlathotep, Game Master	GOG	GOG-081	GOG-081	Ruler	High God		0				RR	[Tales][Revolution Order] [0] (Once per turn, as you play a resonator spell, you may choose to order it. If you do, that resonator spell gains "Players cannot chase to this card. This card cannot be canceled or moved to any zone other than the field.". As that resonator enters the field, put this card with its order side up into your order area.)[Force Command]  (Apply all [Force Resonance]  abilities of cards you control in all zones.)	
Order of Chaos | Order of Chaos	GOG	GOG-081J,GOG-081J	GOG-081J	Order | Order	- | -	 | 	0 | 0	 | 	 | 	 | 	JR	(The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command]  | (The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command] 	
Odin, God of War	GOG	GOG-082	GOG-082	Ruler	High God		0				RR	[Villains][Revolution Order] [0] (Once per turn, as you play a resonator spell, you may choose to order it. If you do, that resonator spell gains "Players cannot chase to this card. This card cannot be canceled or moved to any zone other than the field.". As that resonator enters the field, put this card with its order side up into your order area.)[Force Command]  (Apply all [Force Resonance]  abilities of cards you control in all zones.)	
Order of Faith | Order of Faith	GOG	GOG-082J,GOG-082J	GOG-082J	Order | Order	- | -	 | 	0 | 0	 | 	 | 	 | 	JR	(The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command]  | (The ordered card becomes a J-ruler with play cost (and is no longer a resonator) and gains the following abilities as long as this card is in your order area. The J-ruler type and those abilities cannot be removed from or lost by the ordered card in any way.)[Force Command] 	
