Name	Set	ImageFile	SetID	type	Race	Cost	TCost	ATK	DEF	Attribute	Rarity	Cardtext	Script
Seal of Lenneth	AO1	AO1-015.png	AO1-015	Addition		[L]				Light	N	[Enter] => Remove target non-J-ruler, non-magic stone entity your opponent controls from the game. When this card leaves the field => Put a card from a removed area that was removed by this card into the field under its owner's control.	
Spirit of Goddess	AO1	AO1-016.png	AO1-016	Resonator	Fairy	[L]		400	400	Light	N	[Enter] => Look at the top card of your deck. If it is a Goddess, reveal it, and put it into your hand. Otherwise, put it on the top or bottom of your deck.	
Spirit of Memory	AO1	AO1-017.png	AO1-017	Resonator	Spirit	[L]		400	400	Light	N	Remove this card from the game: Search your deck for a card named "Spirit of Memory" and put it into your hand. This card gains [+100/+100] for each card named "Spirit of Memory" in your removed area.	
Barbatos, the Crimson Duke (Stranger)	AO1	AO1-018.png	AO1-018	Resonator(Stranger)	Demon	[F]		700	700	Fire	R	[Enter] => Rest all other J/resonators.	
Berserk Dragon (Stranger)	AO1	AO1-019.png	AO1-019	Resonator(Stranger)	Dragon	[F][F][F]		2000	400	Fire	R	[Awakening][F][1]: [Enter] => This card gains [Swiftness] until end of turn. At the next end of turn => Its controller banishes it.	
Burn to Cinders	AO1	AO1-020.png	AO1-020	Chant		[F][F]				Fire	N		
Certo, the Blazing Volcano	AO1	AO1-021.png	AO1-021	Addition: Field	Mountain	[F][1]				Fire	N	Players cannot gain life. Whenever a resonator is put into a graveyard from a field => This card deals 100 damage to each player.	
Draig, the Red Dragon	AO1	AO1-022.png	AO1-022	Resonator	Dragon	[F][4]		1200	1200	Fire	N	You may pay [1] less to play this card for each resonator put into a graveyard from your field this turn.	
Familiar of Primogenitor	AO1	AO1-023.png	AO1-023	Resonator	Demon	[F]		400	100	Fire	N	[F], banish this card: Target resonator gains [+400/0] until end of turn.	
Fire Fox	AO1	AO1-024.png	AO1-024	Resonator	Beast	[F]		400	400	Fire	R	[Enter] => This card may deal 400 damage to you. If it does, this card gains [+100/0] and [Swiftness] until end of turn.	
Gareth, the Dauntless Knight	AO1	AO1-025.png	AO1-025	Resonator	Knight of the Round Table	[F][F][1]		800	800	Fire	N	If this card would be dealt 700 or less damage, prevent it.	
Heroic Spirit of Vell-Savaria	AO1	AO1-026.png	AO1-026	Resonator	Heroic Spirit	[F]		600	600	Fire	N	Remove this card in your hand from the game: This card deals 200 damage to target resonator.	
Invasion of Alisaris	AO1	AO1-027.png	AO1-027	Chant	Mage Art	[F]				Fire	N		
Keeper of the Future, Skuld	AO1	AO1-028.png	AO1-028	Resonator	Goddess	[F][1]		500	500	Fire	N	When this card enters your field => Remove the top two cards of your deck from the game. This card deals 100 damage multiplied by the combined total cost of the cards removed this way to target J/resonator. As long as there are ten or more cards in your removed area, this card gains [+300/+300] and [Swiftness].	
Keeper of the Past, Urthr	AO1	AO1-029.png	AO1-029	Resonator	Goddess	[F][2]		800	800	Fire	N	When this card enters your field => You may remove up to two cards in your graveyard from the game. If you do, it deals 200 damage multiplied by the combined total cost of the cards removed this way to target J/resonator. As long as there are ten or more cards in your removed area, this card gains [+300/+300] and [Precision].	
Keeper of the Present, Verdandi	AO1	AO1-030.png	AO1-030	Resonator	Goddess	[F]		100	100	Fire	N	When this card enters your field => You may remove a card in your hand from the game. If you do, draw a card. As long as there are ten or more cards in your removed area, this card gains [+900/+900] and [First Strike].	
Memory of Disappearance	AO1	AO1-031.png	AO1-031	Chant		[F]				Fire	N		
Regalia Break	AO1	AO1-032.png	AO1-032	Chant	Sword Art	[F]				Fire	R		
Rukh Egg	AO1	AO1-033.png	AO1-033	Resonator	Egg	[F]		0	200	Fire	N	This card cannot attack. When this card is put into a graveyard from your field => Search your deck for a fire resonator, reveal it and put it into your hand. Then shuffle your deck.	
Sanguine Arena	AO1	AO1-034.png	AO1-034	Addition: Field		[F]				Fire	N	[rest]: This card deals 200 damage to each resonator. Play this ability only if you control a resonator.	
Thunder	AO1	AO1-035.png	AO1-035	Chant		[F]				Fire	N		
Torching the Timeline	AO1	AO1-036.png	AO1-036	Chant		[F]				Fire	N		
Whelp Drake	AO1	AO1-037.png	AO1-037	Resonator	Dragon	[F][1]		400	400	Fire	N	When this card is put into a graveyard from your field => It deals 400 damage to target resonator.	
Alice's Little Scout	AO1	AO1-038.png	AO1-038	Resonator	Soldier	[Wa]		200	200	Water	N	When this card is put into a graveyard from your field => Draw a card.	
Bewildering Charm	AO1	AO1-039.png	AO1-039	Chant	Mage Art	[Wa]				Water	R		
Rahab, The Emperor Dragon of Riptide (Stranger)	AO1	AO1-040.png	AO1-040	Resonator(Stranger)	Dragon	[Wa][Wa][Wa]		1000	1000	Water	R	[Enter] => Draw two cards.	
Vala, the Bewildering Mage	AO1	AO1-041.png	AO1-041	Resonator	Five Heroes	[Wa][Wa]		600	600	Water	SR	This card may not be banished as a cost to play a spell or ability. [Enter] => Switch the control of this card and target resonator your opponent controls.	
Astema, the Fallen Angel of Desolation (Stranger)	AO1	AO1-042.png	AO1-042	Resonator(Stranger)	Fallen Angel/Deity	[D][D][D]		1000	1000	Darkness	SR	At the beginning of each player's turn => That player banishes a non-Fallen Angel resonator.	
Dark Alice's Shadow Warrior	AO1	AO1-043.png	AO1-043	Resonator	Shadow/Soldier	[D]		300	300	Darkness	N	Banish this card: Target resonator gains [-200/-200] until end of turn.	
Dark Indication	AO1	AO1-044.png	AO1-044	Chant		[D]				Darkness	R		
Alisaris, the Invader to the God's City	AO1	AO1-045.png	AO1-045	Resonator	Human	[L][F]				Light	SR	You may pay [1] less to play this card for each card in your removed area. [Enter] => Put a card from your removed area into your hand. [0], reveal this card from your hand: Put it on top of your deck or into your graveyard, or remove it from the game.	
Amaterasu, the Oracle of Sacred Text (Stranger)	AO1	AO1-046.png	AO1-046	Resonator(Stranger)	Deity	[L][F]		800	800	Light	SR	Other light or fire resonators you control gain [+200/+200]. You may pay [1] less to play light or fire resonators.	
Athena, the Guardian of Blaze	AO1	AO1-047.png	AO1-047	Resonator	Twelve Protective Deities/Goddess	[L][L][F]		800	800	Light	SR	Whenever you gain life => Put two [+100/+100] counters on this card. [L]: You gain 200 life. [F]: This card deals 100 damage for each [+100/+100] counter on this card to target J/resonator.	
Azazel, the Blazing Charger (Stranger)	AO1	AO1-048.png	AO1-048	Resonator(Stranger)	Demon	[F][D]		700	700	Fire	SR	Resonators you control gain [Swiftness]. Whenever a resonator you control is put into a graveyard from the field => This card deals 200 damage to target player or J/resonator. [F]: Target J/resonator must attack or block this turn if able.	
Blazer	AO1	AO1-049.png	AO1-049	Resonator	Dragon	[F][F][D][D]		1000	1000	Fire	SR	[Enter] => Target J/resonator your opponent controls loses all abilities until end of turn. Then destroy it. If a J-ruler was destroyed this way, the ruler your opponent controls loses all abilities until end of game.	
Caduceus	AO1	AO1-050.png	AO1-050	Regalia		[L][F]				Light	SR	Your J-ruler gains [Drain]. [Rest]: Produce two wills in any combination of [L] and/or [F]. Spend this will only to play (Strangers), Mage Arts, or activate abilities of Twelve Protective Deities.	
Crossing Point	AO1	AO1-051.png	AO1-051	Chant	Mage Art	[L][F]				Light	SR		
Dark Fire	AO1	AO1-052.png	AO1-052	Chant	Sword Art	[F][F][D]				Fire	SR		
Darkest Fire Small Dragon	AO1	AO1-053.png	AO1-053	Resonator	Dragon	[F][D]		600	600	Fire	R	When this card is put into a graveyard from the field => Destroy target damaged resonator. Whenever a card named "Shakti, the Red Eyes Swords Master" enters the field under your control => You may pay 400 life. If you do, put this card from your graveyard into your hand.	
Hitomatano-Orochi, the Pet of Lenneth	AO1	AO1-054.png	AO1-054	Resonator	Twelve Protective Deities/Dragon	[L][F]		200	200	Light	R	[L][F]: Put two [+100/+100] counters on this card. If you control a regalia, put four [+100/+100] counters on this card instead. This card gains [Precision], as long as there are eight or more [+100/+100] counters on it. This card gains [Eternal] and [Pierce], as long as there are twenty or more [+100/+100] counters on it.	
Holy Nova	AO1	AO1-055.png	AO1-055	Chant	Sword Art	[L][L][Wa][Wa]				Light	SR		
Ishtar, the Great Goddess of Kindness (Stranger)	AO1	AO1-056.png	AO1-056	Resonator(Stranger)	Goddess	[L][L][Wa][Wa]		1000	1000	Light	SR	[Enter] => Put a non-(Stranger) resonator from your graveyard into the field.	
Lamorak, the Third Knight	AO1	AO1-057.png	AO1-057	Resonator	Knight of the Round Table	[L][Wa]		600	600	Light	R	This card gains [+200/+200] and [Drain], as long as you control a regalia. Regalias you control gain [Barrier].	
Lars, Knight of the Sacred Spirit	AO1	AO1-058.png	AO1-058	Resonator	Five Heroes	[L][L][Wa]		800	800	Light	SR	Prevent the first damage that would be dealt to Five Heroes you control each turn. You may pay the attribute cost of Five Hero cards with light will.	
Light of Raze and Revive	AO1	AO1-059.png	AO1-059	Chant	Mage Art	[L][F]				Light	SR		
Opening the Red Eyes	AO1	AO1-060.png	AO1-060	Chant	Sword Art	[F][D]				Fire	SR		
Phoenix, the Inextinct Fire	AO1	AO1-061.png	AO1-061	Resonator	Twelve Protective Deities/Beast	[L][F]		400	1000	Light	R	Your J-ruler gains [Imperishable]. [L][L][F][F]: Put this card from your graveyard or removed area into the field.	
Shakti, the Red Eyes Swords Master	AO1	AO1-062.png	AO1-062	Resonator	Five Heroes	[F][D]		600	600	Fire	SR	For effects of regalia you control, treat this card also as a J-ruler. Whenever you play a Sword Art => Copy it. You may choose new targets for the copy.	
The Palace of Three Goddess	AO1	AO1-063.png	AO1-063	Addition		[L][F]				Light	R	You may pay [1] less to play this card for each card in your removed area. [Enter] => You may put any number of Goddess resonators with different names from your hand into the field. [L][F]: Put two [+100/+100] counters on target Goddess resonator.	
Thor, the White Lightning (Stranger)	AO1	AO1-064.png	AO1-064	Resonator(Stranger)	Deity	[L][F]		800	800	Light	R	[Enter] => Remove the top card of your deck from the game. Destroy all non-magic stone entities your opponent controls that share the cost with the removed card. [L]: This card gains [0/+200] until end of turn. [F]: This card gains [+200/0] until end of turn.	
Twin-Adders Spiral	AO1	AO1-065.png	AO1-065	Chant	Mage Art	[L][F]				Light	R		
Vell-Savaria, the God's City	AO1	AO1-066.png	AO1-066	Addition		[L][F]				Light	R	[Enter] => Put target regalia from your graveyard into your hand.	
Magic Stone of Heat Ray	AO1	AO1-067.png	AO1-067	Special Magic Stone							R	Treat this card as a light magic stone and fire magic stone. [rest]: Produce [L] or [F].	
Avalon, Illusionary Home of Knights	SDAO1	SDAO1-001.png	SDAO1-001	Addition: Field		[L][1]				Light		Knights of the Round Table you control gain [+200/+200].	
Bedivere, the Restorer of Souls	SDAO1	SDAO1-002.png	SDAO1-002	Resonator	Knight of the Round Table	[L][L][1]		700	700	Light		When this card enters your field => You may remove target resonator with 1000 or more ATK from the game.	
Gawain, the Knight of the Sun	SDAO1	SDAO1-003.png	SDAO1-003	Resonator	Knight of the Round Table	[L][L]		300	700	Light		Other Knight of the Round Table resonators you control gain [+200/+200]. Whenever this card attacks or blocks => Rest target resonator.	
Kai, the Resonant Knight	SDAO1	SDAO1-004.png	SDAO1-004	Resonator	Knight of the Round Table	[L]		400	400	Light		[Enter] => Look at the top card of your deck. If it's a Knight of the Round Table, reveal it and put it into your hand.	
Perceval, the Seeker of Holy Grail	SDAO1	SDAO1-005.png	SDAO1-005	Resonator	Knight of the Round Table	[L]		200	200	Light		When this card enters your field => Reveal the top five cards of your deck. You may put a Regalia or Knight of the Round Table from among them into your hand. Put the rest on the bottom of your deck in any order. Banish this card: Prevent all damage that would be dealt to target J-ruler or Knight of the Round Table until end of turn.	
Siegfried, the Dragon Knight (Stranger)	SDAO1	SDAO1-006.png	SDAO1-006	Resonator (Stranger)	Paladin	[L][L]		700	1000	Light		[Enter] => Destroy target rested resonator.	
White Wizard (Stranger)	SDAO1	SDAO1-007.png	SDAO1-007	Resonator (Stranger)	Wizard	[L]		500	700	Light		Prevent all damage that would be dealt to resonators with a [+100/+100] counter on them by chants and abilities. [Enter] => Distribute two [+100/+100] counters on up to two target J/resonators you control.	
Demonflame	SDAO1	SDAO1-008.png	SDAO1-008	Chant		[F]				Fire			
Guinevere, the Jealous Queen	SDAO1	SDAO1-009.png	SDAO1-009	Resonator	Queen	[F]		200	400	Fire		[rest], banish a resonator: Draw two cards, then discard a card. [F], [rest]: Target resonator you control gains [+400/+400] until end of turn. When it deals or is dealt damage this turn, banish it.	
Hector de Maris, the Acolyte of Mad Demon	SDAO1	SDAO1-010.png	SDAO1-010	Resonator	Knight of the Round Table	[F][1]		400	400	Fire		You may pay [F] less to play this card if you control "Lancelot, the Knight of Mad Demon". When this card enters your field => Target resonator gains [+400/0] until end of turn.	
Lancelot, the Knight of Mad Demon	SDAO1	SDAO1-011.png	SDAO1-011	Resonator	Knight of the Round Table	[F][F]		600	600	Fire		As you choose a card to attack, you must choose this card if able. Whenever this card attacks => If this card's ATK is 1000 or more, this card deals 700 damage to target resonator. [F]: This card gains [+100/0] until end of turn.	
Perceval, the Fascinated by Holy Grail	SDAO1	SDAO1-012.png	SDAO1-012	Resonator	Knight of the Round Table	[F]		200	200	Fire		[Enter] => Reveal the top five cards of your deck. You may put a regalia or a fire resonator with cost 2 or less from among them into your hand. Put the rest on the bottom of your deck in any order. Banish this card: This card deals 200 damage to target player or J/resonator.	
Red Wizard (Stranger)	SDAO1	SDAO1-013.png	SDAO1-013	Resonator (Stranger)	Wizard	[F]		600	600	Fire		[Enter] => This card deals 600 damage to each resonator your opponent controls.	
Regulus, the King of Volcano (Stranger)	SDAO1	SDAO1-014.png	SDAO1-014	Resonator (Stranger)	Beast	[F][F]		1000	1000	Fire		Whenever this card is dealt damage => It deals that much damage to your opponent.	
Twin Swords of Water's Mercy (Stranger)	SDAO1	SDAO1-015.png	SDAO1-015	Resonator (Stranger)	Swordsman	[Wa]		600	600	Water		[Enter] => Put target resonator on top of its owner's deck.	
Undine, the Spirit (Stranger)	SDAO1	SDAO1-016.png	SDAO1-016	Resonator (Stranger)	Spirit	[Wa]		700	700	Water		[Enter] => Return up to three target non-J/resonator non-magic stone entities to their owners' hands.	
Amon, the Demon Prince of Conspiracy (Stranger)	SDAO1	SDAO1-017.png	SDAO1-017	Resonator (Stranger)	Demon	[D]		0	0	Darkness		As this card enters the field, pay any amount of life. This card enters the field with a [+100/+100] counter on it for each 100 life paid this way. [Enter] => Draw a card for each 700 life paid as this card entered the field.	
Shade (Stranger)	SDAO1	SDAO1-018.png	SDAO1-018	Resonator (Stranger)	Spirit	[D]		600	600	Darkness		[Enter] => Your opponent banishes a resonator. When this card is put into a graveyard from the field => Your opponent banishes a resonator.	
Arthur, the King of Knights (Stranger)	SDAO1	SDAO1-019.png	SDAO1-019	Resonator (Stranger)	Knight of the Round Table	[L][L][Wa]		1000	1000	Light		Other Knight of the Round Tables you control gain [Eternal]. [Enter] => You may search your deck for a Knight of the Round Table and put it into the field.	
Awakening of the Flame King	SDAO1	SDAO1-020.png	SDAO1-020	Chant	Sword Art	[F][F][D]				Fire			
Awakening of the Sacred Queen	SDAO1	SDAO1-021.png	SDAO1-021	Chant	Sword Art	[L][L][Wa]				Light			
Bloody Break	SDAO1	SDAO1-022.png	SDAO1-022	Chant	Sword Art	[F][D]				Fire			
C? Chulainn, the Hero in a Far Land (Stranger)	SDAO1	SDAO1-023.png	SDAO1-023	Resonator (Stranger)	Hero	[F][F][D]		1000	1000	Fire		This card gains [Swiftness] and [Precision], as long as your life is 2000 or less. Whenever this card attacks => Your opponent discards a card.	
Darkest Fire Dragon	SDAO1	SDAO1-024.png	SDAO1-024	Resonator	Dragon	[F][D]		800	800	Fire		This card gains [Swiftness], as long as you control "Volga, the Fire King". [Enter] => Destroy target damaged resonator. If you do, put two [+100/+100] counters on this card.	
Excalibur	SDAO1	SDAO1-025.png	SDAO1-025	Regalia		[L][Wa]				Light		Your J-ruler gains [+400/+400].	
Faria	SDAO1	SDAO1-026.png	SDAO1-026	Ruler	Little Girl							[Judgment] [L][L][D] Whenever a light regalia enters the field under your control => Choose one, if the regalia is "Excalibur", choose up to two instead - Choose a card from your Stranger deck at random and put it into your hand; or destroy target rested resonator; or draw a card; or you may pay [0] to do judgment until end of turn.	
Laevateinn	SDAO1	SDAO1-027.png	SDAO1-027	Regalia		[F][D]				Fire		Your J-ruler gains [Swiftness].	
Melgis	SDAO1	SDAO1-028.png	SDAO1-028	Ruler	Warrior							[Judgment] [F][F][D] Whenever a fire regalia enters the field under your control => Choose one, if the regalia is "Laevateinn", choose up to two instead - Choose a card from your Stranger deck at random and put it into your hand; or this card deals 500 damage to target player or J/resonator; or put a [700/100] fire Warrior resonator token with [Swiftness] into the field. At the next end of turn => Its controller banishes it; or you may pay [0] to do judgment until end of turn.	
Sacred Wave Blade	SDAO1	SDAO1-029.png	SDAO1-029	Chant	Sword Art	[L][Wa]				Light		Remove target resonator or addition from the game. If this card was awakened, choose a card from your Stranger deck at random and put it into your hand.	
Traveler in Wonderland	SDAO1	SDAO1-030.png	SDAO1-030	Resonator	Wanderer	[L][L][Wa]		800	800	Light		Your J-ruler gains [Barrier]. [Enter] => Rest target J/resonator. [0]: Choose a race. Resonators you control gain the chosen race until end of turn. Play this ability only once per turn.	
Viviane	SDAO1	SDAO1-031.png	SDAO1-031	Resonator	Fairy	[L][Wa]		600	600	Light		Knight of the Round Tables in your hand gain [Quickcast]. [Enter] => Search your deck for a card named "Avalon, Illusionary Home of Knights" and put it into the field. If you control "Avalon, Illusionary Home of Knights", you may search your deck for a card named "Excalibur" instead.	
Volga, the Fire King	SDAO1	SDAO1-032.png	SDAO1-032	Resonator	King	[F][F][D]		900	900	Fire		When this card is put into a graveyard from the field => Search your deck for a card named "Laevateinn", reveal it and put it into your hand. If your life is 2000 or less, you may put it into the field instead.	
Attoractia’s Memoria	SDAO1	SDAO1-033.png	SDAO1-033	Special Magic Stone									
Magic Stone of Light Vapors	SDAO1	SDAO1-034.png	SDAO1-034	Special Magic Stone								Treat this card as a light magic stone and water magic stone. [rest]: Produce [L] or [Wa].	
Magic Stone of Scorched Bales	SDAO1	SDAO1-035.png	SDAO1-035	Special Magic Stone								Treat this card as a darkness magic stone and fire magic stone. [rest]: Produce [D] or [F].	
Fire Magic Stone	SDAO1	SDAO1-036.png	SDAO1-036	Basic Magic Stone								[rest]: Produce [F].	
Light Magic Stone	SDAO1	SDAO1-037.png	SDAO1-037	Basic Magic Stone								[rest]: Produce [L].	
Bai Hu, the Sacred Beast	AO2	AO2-001.png	AO2-001	Resonator	Four Sacred Beasts	[L][2]		600	600	Light	N	When this card enters your field => You gain 200 life for each Four Sacred Beasts you control.	
Zhu Que, the Sacred Beast	AO2	AO2-003.png	AO2-003	Resonator	Four Sacred Beasts	[F][1]		400	400	Fire	N	When this card enters your field => It deals 200 damage to target resonator for each Four Sacred Beasts you control.	
All Consuming Suspicion	AO2	AO2-005.png	AO2-005	Addition: Resonator		[Wa]				Water	N	Added resonator cannot attack resonators. Banish this card: Draw a card.	
Euryale, the Dark Eye of Blindness	AO2	AO2-008.png	AO2-008	Resonator	Gorgon	[Wa][2]		600	500	Water	N	When this card enters your field => Rest target resonator. It doesn't recover during the recovery phase as long as this card is in a field. [Wa]: Target Gorgon gains [+200/0] until end of turn. Play this ability only once per turn.	
Foresee	AO2	AO2-009.png	AO2-009	Chant		[Wa][Wa]				Water	N		
Medusa, the Dead Eye of Petrification	AO2	AO2-013.png	AO2-013	Resonator	Gorgon	[Wa][2]		600	600	Water	N	Whenever this card blocks or is blocked by a resonator => Put that resonator on the bottom of its owner's deck. [Wa]: Gorgons you control gain [+200/+200] until end of turn. Play this ability only once per turn.	
Shangri-La, the Paradise on the Ocean	AO2	AO2-015.png	AO2-015	Addition: Field		[Wa][1]				Water	N	When this card enters your field => Draw a card. Water resonators you control gain [+100/+100]. As long as you have five or more cards in your hand, water resonators you control gain [+100/+100].	
Stheno, the Evil Eye of Temptation	AO2	AO2-017.png	AO2-017	Resonator	Gorgon	[Wa][2]		500	600	Water	N	When this card enters your field => Target resonator loses all abilities as long as this card is in a field. [Wa]: Target Gorgon gains [0/+200] until end of turn. Play this ability only once per turn.	
Xuan Wu, the Sacred Beast	AO2	AO2-023.png	AO2-023	Resonator	Four Sacred Beasts	[Wa][2]		500	700	Water	N	When this card enters your field => Return target resonator to its owner's hand if its total cost is less than or equal to the number of Four Sacred Beasts you control. Whenever this card blocks => Prevent the next damage it would be dealt until end of turn.	
Pricia's Call to Action	AO2	AO2-026.png	AO2-026	Chant		[Wi]				Wind	N		
Qing Long, the Sacred Beast	AO2	AO2-027.png	AO2-027	Resonator	Four Sacred Beasts	[Wi][Wi][1]		800	800	Wind	N	When this card enters your field => If you control another Four Sacred Beasts, draw a card. [1]: Other Four Sacred Beasts resonators you control gain [+200/+200] until end of turn. Play this ability only once per turn.	
Ratatoskr, the Spirit Beast of Yggdrasil	AO2	AO2-028.png	AO2-028	Resonator	Beast	[Wi]		0	200	Wind	N	Beasts you control cannot be targeted by chants or abilities your opponent controls during your opponent's turn. Wind resonators in your hand gain [Quickcast]. Whenever another resonator enters your field => This card gains [+200/+200] until end of turn.	
Sissei, the Ancient Forest	AO2	AO2-031.png	AO2-031	Addition: Field	Forest	[Wi][1]				Wind	N	Beasts and Four Sacred Beasts you control gain [+200/+200]. Whenever a resonator is put into a graveyard from your field => You may pay [Wi][Wi][1]. If you do, draw a card.	
Dance of the Shadows	AO2	AO2-035.png	AO2-035	Chant		[D][3]				Darkness	N		
Clockwork Soldiers	AO2	AO2-056.png	AO2-056	Resonator	Machine	[1]		300	300		N	[1]: This card gains [+200/0] until end of turn. At the end of turn => Banish it.	
Leginus, the Mechanical City	AO2	AO2-058.png	AO2-058	Addition: Field	Machine	[2]					N	Machines you control gain [+200/+200]. [2], [rest]: Target resonator loses [Flying], [First Strike], [Pierce] or [Precision] until end of turn. If it does, another target resonator gains that ability until end of turn.	
Machine Lab of Leginus	AO2	AO2-059.png	AO2-059	Addition: Field	Machine	[2]					N	When this card enters your field => Put target Machine with total cost 2 or less from your graveyard into your field.	
Mariabella's Work	AO2	AO2-060.png	AO2-060	Chant		[5]					N		
Remote Control Beast	AO2	AO2-061.png	AO2-061	Resonator	Machine/Beast	[4]		800	800		N	You may pay [1] less to play this card for each Machine you control.	
Remote Control Golem	AO2	AO2-062.png	AO2-062	Resonator	Machine	[10]		2000	2000		N	You may pay [1] less to play this card for each Machine you control. This card cannot be destroyed.	
Attoractia’s Memoria	AO2	AO2-063.png	AO2-063	Special Magic Stone							N		
Magic Stone of Deep Wood	AO2	AO2-064.png	AO2-064	Special Magic Stone							N	Treat this card as a wind magic stone and water magic stone. [rest]: Produce [Wi] or [Wa].	
Secret Duel in the Moonlight	AO2	AO2-002.png	AO2-002	Chant	Sword Art/Moon Art	[F]				Fire	SR		
A Present from Machina	AO2	AO2-004.png	AO2-004	Chant	Sword Art	[Wa]				Water	N		
Buster Rifle	AO2	AO2-006.png	AO2-006	Addition	Machine	[Wa]				Water	R	Cards named "Marybell Type Zero" you control gain [Pierce]. [Rest]: Target J/resonator you control gains [+400/0] until end of turn. [Rest], banish a Machine resonator: This card deals damage equal to the banished resonator's ATK to target J/resonator. Play this ability only if you control "Marybell Type Zero".	
Caller of Gorgons	AO2	AO2-007.png	AO2-007	Resonator	Wizard	[Wa]		200	500	Water	R	You may pay [1] less to play Gorgon spells. Banish this card: Put target Gorgon from your graveyard into your hand.	
Gear Golem, the Magical Soldier (Stranger)	AO2	AO2-010.png	AO2-010	Resonator (Stranger)	Machine	[Wa][Wa][Wa][Wa][Wa]		4000	4000	Water	SR	As long as you control twenty or more Machines, this card gains [Pierce] and [Barrier].	
Leginus, the City of Science	AO2	AO2-011.png	AO2-011	Addition	Machine	[Wa]				Water	R	[Enter] => Draw a card. Whenever you do judgment of a ruler => Remove this card from the game. You may reveal a "Leginus, the Mechanical City" from outside the game and put it into the field. As long as this card is in your removed area, you may pay [0] to play activate abilities of cards named "Leginus, the Mechanical City" you control.	
Linked Battle Robot	AO2	AO2-012.png	AO2-012	Resonator	Machine	[Wa][Wa][1]		800	800	Water	SR	As long as you control three or more Machines, Machine J/resonators you control gain [+200/+200]. As long as you control five or more Machines, this card gains [Flying]. As long as you control seven or more Machines, other Machine J/resonators you control gain the keyword abilities of this card.	
Mirage Golem (Stranger)	AO2	AO2-014.png	AO2-014	Resonator (Stranger)	Machine	[Wa]		700	700	Water	R	Whenever this card blocks => Recover it and it gains [0/+1000] until end of turn. This ability triggers only once per turn. [D]: This card gains [Flying] until end of turn. [Wi]: This card gains [Barrier] until end of turn.	
Shion, the Sorrowful Songstress	AO2	AO2-016.png	AO2-016	Resonator	Human	[Wa]		400	400	Water	SR	[Rest]: Produce [D] or [D]. Spend this will only to play Mage Arts. Whenever you play a water or darkness Mage Art => Target resonator gains [-200/0] until end of turn.	
Suppression Order	AO2	AO2-018.png	AO2-018	Chant	Sword Art	[Wa]				Water	R		
Athenia, the Wind Master (Stranger)	AO2	AO2-024.png	AO2-024	Resonator (Stranger)	Human	[Wi]		600	600	Wind	R	[Enter] => Put up to two target cards in any removed area into their owner's graveyard. When this card is put into a graveyard from the field => You may pay [Wi]. If you do, choose a card from your Stranger deck at random and put it into your hand. Banish this card: Target (Stranger) or regalia gains [Barrier] until end of turn.	
Don't Cheat!	AO2	AO2-025.png	AO2-025	Chant	Sword Art	[Wi][Wi][Wi]				Wind	SR		
